date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2013/07/30 00:00,471.11,476.52,471.1,475.59,474.154,481.4063636
'2013/07/31 00:00,476.11,480.7,475.85,477.78,474.772,480.1990909
'2013/08/01 00:00,481.93,486.79,481.76,486.6,476.612,479.7463636
'2013/08/02 00:00,483.98,483.98,480.43,483.38,478.664,479.3972727
'2013/08/05 00:00,481.49,482.75,480.56,482.14,481.098,479.0309091
'2013/08/06 00:00,481.34,482.03,477.11,478.68,481.716,478.4427273
'2013/08/07 00:00,477.22,477.22,472.2,474.12,480.984,477.5881818
'2013/08/08 00:00,475.54,476.47,471.59,474.31,478.526,477.5536364
'2013/08/09 00:00,472.71,474.61,470.93,471.76,476.202,477.0409091
'2013/08/12 00:00,470.15,475.03,469.82,473.62,474.498,477.0863636
'2013/08/13 00:00,475.53,479.76,472.24,479.07,474.576,477.9136364
'2013/08/14 00:00,472.81,475.73,470.84,471.34,474.02,477.5272727
'2013/08/15 00:00,464.52,465.43,460.51,460.84,471.326,475.9872727
'2013/08/16 00:00,460.34,466.75,460.34,462.46,469.466,473.7927273
'2013/08/19 00:00,462.14,464.07,459.04,459.29,466.6,471.6027273
'2013/08/20 00:00,459.62,463.54,458.75,461.83,463.152,469.7563636
'2013/08/21 00:00,459.46,462.47,456.93,458.53,460.59,467.9245455
'2013/08/22 00:00,460.17,464.73,460.11,463.83,461.188,466.9890909
'2013/08/23 00:00,464.38,464.91,461.25,463.82,461.46,466.0354545
'2013/08/26 00:00,464.62,465.84,462.19,462.92,462.186,465.2318182
'2013/08/27 00:00,458.09,458.09,450.56,451.22,460.064,463.1954545
'2013/08/28 00:00,452.21,458.72,452.2,456.39,459.636,461.1336364
'2013/08/29 00:00,456.17,463.14,456.17,461.82,459.234,460.2681818
'2013/08/30 00:00,461.89,462.29,456.23,457.7,458.01,459.9827273
'2013/09/03 00:00,462.94,467.21,459.23,461.64,457.754,459.9081818
'2013/09/04 00:00,464.55,474.47,463.17,473.56,462.222,461.2054545
'2013/09/05 00:00,474.23,478,474.13,477.04,466.352,462.5881818
'2013/09/06 00:00,478.9,479.12,471.24,475.1,469.008,464.0945455
'2013/09/09 00:00,477.19,482.54,477.06,481.42,473.752,465.6936364
'2013/09/10 00:00,485.42,490.68,485.42,490.65,479.554,468.1327273
'2013/09/11 00:00,488.72,490.35,484.76,489.04,482.65,470.5072727
'2013/09/12 00:00,489.01,490.16,485.58,486.06,484.454,473.6745455
'2013/09/13 00:00,486.95,488.37,483.8,488.23,487.08,476.5690909
'2013/09/16 00:00,492.18,493.88,489.64,490.35,488.866,479.1627273
'2013/09/17 00:00,492.38,494.37,491.7,493.4,489.416,482.4081818
'2013/09/18 00:00,493.3,498.07,491.29,497.67,491.142,485.6836364
'2013/09/19 00:00,498.95,500.24,494.5,496.09,493.148,487.7318182
'2013/09/20 00:00,497.52,498.96,492.73,493.15,494.132,489.1963636
'2013/09/23 00:00,494.83,496.26,489.24,491.29,494.32,490.6681818
'2013/09/24 00:00,493.69,497.01,491.01,494.73,494.586,491.8781818
'2013/09/25 00:00,495.29,497.66,492.01,494.95,494.042,492.2690909
'2013/09/26 00:00,496.77,498.08,492.82,494.71,493.766,492.7845455
